demandId,description,createdAt
1003630,CC商品返单建议表优化,2025-04-30 10:06:34
1003600,SAP CX 内存 - 中台导出优化（有图+无图）,2025-04-30 10:06:05
1000354,POS开单页面默认的销售类别不对,2025-04-30 10:04:45
1000356,POS自动退出登录问题,2025-04-30 10:04:25
1000353,POS销售类别和员工在录单时会消失,2025-04-30 10:03:27
1000357,POS使用零售类别查询条件过慢,2025-04-30 10:03:00
1000351,POS完成挂单支付信息未正常显示,2025-04-30 10:02:32
1000352,POS客户和员工录入后删除会自行恢复,2025-04-30 10:01:43
1000355,POS按款改价页面品牌筛选条件失效,2025-04-30 10:01:23
1003628,启用售罄率报表,2025-04-15 16:34:00
1003623,新增库存调拨单、采购指令列表、库存调整单三个报表的导出功能,2025-04-10 17:07:00
1003621,中台-库存管理-RFID全生命周期查询导出功能优化,2025-04-09 16:27:00
1003616,POS结算页面增加品牌、货号筛选条件,2025-04-07 12:47:00
1003615,POS库存调拨列表页调整,2025-04-07 12:36:00
1003614,POS挂单修改客户,2025-04-07 11:53:00
1003613,POS录单、结算页面图片放大,2025-04-07 11:41:00
1003611,店铺挂单明细报表调整,2025-04-01 10:41:00
1003610,CC&TOP2系统集成界面,2025-03-29 14:54:00
1003609,采购单-原单含做作价比格式，增加利润点，做价比的取值逻辑调整,2025-03-28 14:23:00
1003608,采购付款申请详情页，增加发票一键下载发票的功能,2025-03-28 14:22:00
1003607,物流运费付款申请单功能优化,2025-03-28 14:14:00
1003603,POS挂单自动取消增补需求,2025-03-24 15:05:00
1003602,POS挂单自动取消增补需求,2025-03-24 14:35:00
1003517,客户余额流水明细表开发,2025-03-22 16:38:00
1003516,销售/退货收入报表开发,2025-03-22 16:29:00
1003601,订单管理增加小票预览功能,2025-03-21 14:40:00
1003550,分货单列表---新建状态的单进行拆分单单据,2025-03-20 13:43:00
1003588,店铺销售明细报表增加销售类别查询条件,2025-03-13 15:10:00
1003586,库存中心增加采购在途库存查询,2025-03-10 11:34:00
1003585,POS挂单自动取消,2025-03-10 11:31:00
1003584,采购单-采购打印增加格式,2025-03-07 15:01:00
1003187,POS支付流水查询清空查询条件查询系统变得非常卡,2025-03-03 11:58:00
1003556,POS销售类别字典与店仓管理销售类型字典区分开来,2025-03-01 18:33:00
1003570,合并分货单导出需求,2025-03-01 18:07:00
1003569,增加CC返单建议表,2025-03-01 17:30:00
1003577,店铺销售明细报表增加销售类别前端调整,2025-03-01 16:07:00
1003580,分货列表-双击-新建分货单增加多次点击的控制,2025-03-01 15:44:00
